course_title,num_lectures
"Accounting, Finance and Banking - A Comprehensive Study",395.0
Advanced Technical Analysis PART1!,19.0
Advanced Financial Management for CA / CS / CFA /CPA Exams,194.0
Learn the Foundations of Stocks and Options,63.0
Forex Trading Masterclass - Learn To Trade Better,30.0
Credit Risk Analysis,19.0
Python for Trading & Investing,36.0
Essential Options: Strategies for Mastering the Stock Market,27.0
The Day Trader: Learn to Trade The Stock Market and Forex,54.0
Introduction To The World Of Equity Finance,32.0
Stock Technical Analysis with Excel,41.0
Beginners Forex strategy,20.0
Mortgage Backed Securities,21.0
The Complete Financial Model Builder Course-Build 7 Models,88.0
Equity Swaps,18.0
Proven Methods In Trading Candlestick Patterns,22.0
Read financial statements as a stock investor,18.0
Certificate Program in Financial Accounting,20.0
Trading Biotech Stocks - Understanding the Healthcare Sector,16.0
Fundraising Success: The Art & Science of Major Gifts,25.0
Smart Trading Techniques for Safe & Consistent Weekly Result,24.0
Technical Trading and Investing Made Easy,27.0
Budgeting for Business,25.0
Complete Guide to Business Loans,35.0
Financial Management - A Complete Study,527.0
MQL4 Programming for Traders: Build Robust Trading Robots!,74.0
Ultimate Stock Market Investing: Learn How to Value Stocks,46.0
No Bull Investing: Investing 101 For Financial Freedom,25.0
Technical Analysis 101: Ten Primary Candlestick Reversals,84.0
Managing Budgets in the Public and Non Profit Sector,20.0
Tax made simple for Limited Company Owners and Contractors,57.0
Introduction to the 8 Pillars for Accountants,33.0
FX Trading for Beginners,22.0
Write a Successful Business Grant Proposal,23.0
A Guide To Trade Binary Options Like An Expert,21.0
4. Ordinary Simple Annuities: The Basics,17.0
الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,69.0
Financial Risk Manager (FRM) Certification: Level II,87.0
Level 1 2014 CFA® Program – Corporate Finance,18.0
3. Compound Interest ,21.0
Strategy layout and Backtesting,24.0
Easy Forex and Futures Trading,66.0
Trading mit kleinen Konten - Grundlagen die du kennen musst,20.0
entiende la contabilidad y consigue un aumento de salario,17.0
Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,65.0
CPA 10 COMPLETO,18.0
Trading Intradiario basado en Precio y Volumen,19.0
Aprenda Cálculo Financeiro de Forma Simples,21.0
Estruturação Financeira,18.0
Five steps to becoming a winner in stock investing,28.0
Learn Bookkeeping From Scratch,21.0
ACCA MA1 Management Information,48.0
Tradeonomics - Four Steps to Mastering Economic Indicators,41.0
Forex Trading : Power Of Moving Averages,33.0
Samuel and Co Trading - Stock & Forex Trading,24.0
Accounting Department's Tips & Tricks - Beginner to Advanced,61.0
Certificate Program In Management Accounting,24.0
Professional Trading With Institutional Supply & Demand,37.0
Accounting 101: Guide to Business Accounting,29.0
An Introduction to Financial Markets on Wall Street,29.0
Win 90% of Trades; Quantitative Investments Models in Excel,16.0
Your Business by the Numbers,42.0
Forex - Trade Gartley with Precision - Complete Strategy,23.0
Bitcoin & Ethereum Course (2 Course Bundle),52.0
Accounting and the Triple Bottom Line,19.0
MQL5 - Beginner To Expert,16.0
Trading News Using Binary Options,22.0
Trading Trends in ANY Market,22.0
Financial Statements Analysis: Learn to Invest Like a Pro!,35.0
Contango VXX - ETF Options Trading - Double Your Investment,20.0
TRADING MARKET MAP,27.0
How To Confidently Join The Bitcoin Revolution,53.0
High Probability Trading Across Any Market: Stocks & Forex,105.0
Option Trading for Rookies: Make & Manage Profitable Trades,59.0
Your First Successful Forex Trades - With Case Studies,16.0
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,460.0
Financial Accounting - The Ultimate Beginner Course,101.0
Level 1 2014 CFA® Program – Derivatives,17.0
The Complete Investing Guide: How to Beat Wall Street,25.0
Forex: Presentation and  Analysis (Fundamental & Technical),22.0
How to start a successful career in finance?,27.0
Level 1 2014 CFA® Program – Equity Investments,24.0
Wealth Management,21.0
Curso Completo del Mercado FOREX,50.0
Como Investir em Ações para Iniciantes,18.0
Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,41.0
６時間でインターバンク市場を攻略！最短距離でトレード基礎力,54.0
Matemática Financeira de um jeito fácil,20.0
ビットコイン生態系｜既存通貨が主役をやめる日,16.0
Trading Forex - Trader avec les figures harmoniques,23.0
Введение в Финансовую Инженерию,20.0
Aprenda a Investir no Tesouro Direto Passo a Passo,19.0
資産運用の基礎を学ぶファイナンス入門,52.0
Aprende a invertir y deja que tu dinero trabaje para ti,95.0
Buchführung lernen leicht gemacht,70.0
Day Trading: High ROI Day Trading ,51.0
Accounting Basics 101 for Understanding Business,18.0
Mortgage Acceleration,17.0
Stock Market for Beginners. Learn to trade,42.0
CFA Corporate Finance Level 1 (Part 1),107.0
Trading Tips from Hedge Fund Manager,32.0
Effective Debt Collection Strategies,16.0
Capital Structuring Techiques for CA / CFA / CPA Exams,50.0
The Complete Guide to Forex Trading,33.0
Learn How to Start Small and Make It Big In Small-Cap Stocks,29.0
Trading strategies with common sense technical analysis,29.0
Startup Business: How To Raise Seed Capital,34.0
Business Economics - Basics (College Level),50.0
Technical Analysis 101: Master the Basics of Trading,50.0
Investing in Stocks? Master The Art of Covered Calls Selling,35.0
How to Trade Binary Options Effectively – All Levels,17.0
Forex Trading using professional indicators by TOP traders,28.0
Corporate Finance 101: Equity Valuation,50.0
Forex Trading - Learn An Effective Forex Trading Strategy,16.0
Navigate the 10-K and Other Financial Reports,20.0
From 0 to 1: Investments and Portfolio Theory,22.0
Bitcoin - The Complete Guide,24.0
Bitcoin Peer Investing: How To Generate Double Digit Returns,41.0
Forex Breakout Profits: The Definitive Guide,27.0
Learn to Trade With Fibonacci Tools,30.0
"Investing Internationally into Real Estate, Stocks and Bonds",37.0
From 0 to 1: Bond Theory and Valuation,29.0
Stock Market Mastery,25.0
CFA® Level 1 2014 – Financial Reporting and Analysis,102.0
Financial Risk Manager (FRM) Certification: Level I,113.0
Investment Portfolio Analysis with Excel,39.0
Chartered Financial Analyst (CFA) - Level 1 - FRA,17.0
Forex Basics (Professional Course Level),25.0
Finance for Non-Finance: Learn Quick and Easy,30.0
Work From Home Online (Part/Full) : Trade Forex 4 Beginners,17.0
Financial Ratios Using Excel,29.0
How to Copy the Best Traders on Etoro,41.0
Forex trading made simple,31.0
Professional Risk Manager (PRM) Certification: Level 3,22.0
The Truths about (in)secure Retirement,32.0
Learn How to File Taxes for Uber and Lyft Drivers,25.0
MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,26.0
Start Trading Stocks Using Technical Analysis! Part 2,25.0
Introduction to Corporate Finance (Mergers & Acquisitions),30.0
Forex & Financial Market Trading Tutorial- Online Strategies,69.0
Learn to trade Candlestick Patterns,22.0
"Economics:   Competition, Elasticity, a little Game Theory",42.0
Quantitative Trading Analysis with Python,49.0
Options Trading Essentials: The ULTIMATE Guides,20.0
ACCA FA1 Recording Financial Transactions,27.0
Small Business and Managerial Accounting Training Tutorial,71.0
The Complete Litecoin Crypto Currency Bootcamp,24.0
Bank Reconciliation & VAT on Excel,19.0
Commodity Futures Day Trading Strategies,28.0
Forex Elite Trading,22.0
How to Invest in Startups - Expert Reveals Winning Secrets.,145.0
Essentials of money value: Get a financial Life !,20.0
Introduction to Forex Trading Business For Beginners,27.0
Trade Forex 13 Patterns - Golden Ratios Secret Revealed,44.0
Crystal ball trading - foresee price with seasonal patterns,23.0
Cost Accounting Basics (Professional Course Level),23.0
Learn to Reliably Invest In The Stock Market,19.0
Hedge Fund Trading Systems Part Two - Stocks & ETFs,23.0
Stock Market Option Trading: How Sell Options For Premium,19.0
Debt Collection Management: Get Paid On Time EVERY TIME!,38.0
Learn about it,27.0
Trading: Basics of Trading for Beginners,20.0
Investment Portfolio Analysis with R,37.0
Basics of Economics For Beginners A to Z - A Complete Course,24.0
Financial Modeling for Professionals in 1 Day!,29.0
Create Your Own Automated Stock Trading Robot In EXCEL!,44.0
FOREX: From Zero To Hero,26.0
Learn Call Options and Put Options - Introduction to Options,20.0
Technical Analysis: Understanding Price Action,37.0
Bitcoin For Beginners,22.0
"IAS 16-Property,Plant and Equipment ",20.0
Basel II,57.0
Forex Trading Plan,24.0
Learn Financial Modeling from Scratch - Part1,29.0
Introduction to Small Business Accounting Training Tutorial,75.0
Learn Basic Concepts of Economics Step by Step - Complete,25.0
Introduction to Digital Payments ,17.0
The Beginner's Guide to the Futures and Options Trading,20.0
Bitcoin Investing: The Complete Buy & Hold Strategy,41.0
Financial Modeling in Excel for Startups,54.0
Forex Trading For Beginners ,22.0
Build a Trading Comps Valuation Model,55.0
The Advanced Forex Course for Smart Traders,25.0
Cost Accounting Overheads (Professional Course Level),19.0
Beginners Guide to Stock Market Investing,42.0
Financial Management Capital Market Instruments,17.0
NPV and IRR Techniques for CA / CFA / CPA Exams,55.0
Commercial Credit Analysis,42.0
Essential Finance For Managers,79.0
ProTrader -  Advanced Technical Analysis,34.0
Binary Options Masterclass,16.0
188% Profit in 1Year - Forex ALGO Robot Trading no indicator,20.0
"Financial Accounting, its Cycle, Statements & Analysis",35.0
Yield Curve Dynamics,19.0
Value Investing and Stock Market Fundamentals,17.0
Media Training for Financial Service Professionals,64.0
Forex - Price action Reversal Strategy,16.0
Corporate Finance and Alternative Investment for CFA L1,27.0
Don't Let Your Customers Run Your Business,28.0
Learn Quickbooks to maintain books properly,26.0
